state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
PA,79049802.39,28629001.31,11123864.67,27731778.79,34834986.99,19770860.82,39188382.89,56389119.92,34315176.45,43227673.79,56438073.96,40018386.43,40857383.58,59736930.16,18862346.14,20662327.63,19178778.55,55353398.25,24389373.53,36219734.42,41631105,14792512.96,30759495.69,21847243.13,37108297.58,13938463.24,59671167.59,25204587.97
RI,6259584.28,2276601.048,888733.2616,2221960.676,2784876.702,1578406.578,3149371.955,4542350.643,2583749.515,4038515.14,6083377.923,3730710.416,5067890.934,2555727.389,3258048.882,400750.1715,813909.3355,1719343.737,5071136.191,3417464.548,1279393.483,177869.421,7528819.655,3282667.21,976842.5535,16690390.29,2921405.06,7627097.958
SC,17644311.68,21738936.39,14390229.95,17669514.08,23634300.83,53099822.73,30031859.63,35136654.75,16367195.98,30860431.92,32151528,46268167.11,10710432.99,26140962.96,31637303.1,21666085.29,11642496.49,12238787,6072969.096,10593973.71,14231318.56,7936633.598,13667292.75,23557157.74,25831113.04,30882055.5,37348221.01,40259820.78
SD,4007224.605,3193860.399,4446645.044,5064337.621,4217477.14,2008371.542,4379346.413,5786648.629,3866821.594,2780224.787,10567319.55,6786621.537,2359873.384,5163095.857,2194501.925,5175104.132,2424632.117,4643161.704,3121707.663,3927176.18,2445447.993,1081700.386,3420994.65,6054287.059,7628195.991,8779788.409,4082547.312,2333025.792
TN,25995413.94,32102106.76,21274611.24,26038603.92,34878407.21,78091516.53,43713755.42,50893386.36,111637793.1,46033393.72,19128982.44,39528817.88,26048081.39,37279830.5,15770457.07,26591971.26,19621507.34,26356866.42,14742252.89,42694081.12,37928818.53,11347442.77,30519093.89,22753577.08,88690375.06,46630669.84,38236564.3,33907671.68
TX,76418485.06,95296826.35,63459648,78356602.64,106217986.4,242027893.9,139296581.2,167942475.5,119248779.7,125924222.9,84041371.29,97654002.23,65421894.51,54027887.89,105101002,22899290.8,44736800.92,54745901.72,53025356.72,70804484.2,47917680.47,19939583.88,60652046.83,110394926.6,247181682.1,244694248.1,159790346,174748483.9
UT,4346516.969,8085909.35,9471162.371,6560690.255,8258242.899,5624856.66,12976918.47,22431546.98,12597192.05,11836710.31,20748766.64,12785163.37,12459925.03,20316869.79,11616408.83,8868384.008,5536658.569,9591462.966,2026303.201,5768978.26,14410531.18,1632129.94,10152772.83,19729362.51,18689715.02,15843146.96,15107955.95,26939365.47
VA,30688129.32,37825009.49,24979292.85,30588516.97,40595058.27,90945374.16,51425996.63,60168717.28,28162020.09,53233280.16,55627997.41,80441571.54,18795162.29,46250344.23,56014081.84,38473941.68,20553547.71,21697648.55,10802152.88,18887552.48,25391340.49,14148683.52,24279317.22,41654276.65,45688890.54,54530336.66,66136862.38,71417439.54
VT,3185025.64,1166896.13,460094.3373,1162807.318,1480876.856,852327.6202,1703856.384,2471231.646,1413746.064,2211183.752,3327712.038,2038639.113,2766777.651,1410109.47,1815827.327,225186.9969,459766.8846,979664.2666,2917118.429,1991490.164,753803.886,105575.9945,4490481.559,1962809.018,585364.7313,9687777.167,1691874.29,4403431.931
WA,12734489.79,23425790.03,27103643.37,18658001.28,23361282.36,15908416.55,36270397.68,61559914.83,20534637.35,12540516.2,21720320.85,38538314.33,13345641.41,29384936.61,15610389.06,27713448.65,18286777.51,12373454.49,4299843.429,18776897.12,27210098.54,14173509.24,20991160.05,19940401.56,41072293.85,24959234.19,25586980.89,25074037.56
WI,26942575.3,21385328.72,29880992.26,34170988.9,28691913.59,13681769.46,30015622.84,39624135.5,32109581.46,28730936.5,14725537.93,31532384.1,8781176.549,10261043.92,11984222.77,22084029.84,12621649,6569476.36,18050854.64,12343778.65,15594361.92,27374466.67,16625996.09,16764200.53,37668004.13,27763316.77,39147459.92,13523113.28
WV,11200868.22,13880148.46,9178059.117,11163400.64,14853494.16,33161985.89,18459034.48,21356236.33,9843705.904,18182140,18559991.29,26054199.66,5885373.273,14021757.45,16534179.8,11098981.39,5881683.76,6136980.541,3034689.145,5254402.412,7002532.018,3861113.127,6547161.109,11115341.32,12011871.47,13867154.68,16551585.07,17694564.62
WY,1342235.863,2517567.963,2966962.673,2076761.119,2642066.958,1807750.809,4210510.484,7289503.523,4030811.119,3683753.297,6310786.926,3810812.671,3541434.274,5593437.357,3121385.867,2324612.96,1430264.64,2440604.8,506613.3346,1419451.788,3487842.014,387469.3731,2359665.329,4508784.709,4208598.55,3489089.135,3272411.91,5794069.939
